Course Name,Period
3D Advance (Martinez),2
MS Advanced Dance,7
Advanced Guitar,4
Alternate Mathematics,4
Alternate Mathematics II,3
AP Art History,1
AP Chemistry,7
AP European History,3
AP French Language and Culture,7
AP Music Theory,1
AP Physics C: Mechanics,6
AP Spanish Language and Culture,1
AP Statistics,6
AP Studio Art: 2-D Design,3
AP Studio Art: 3-D Design,3
Bass Ensemble,4
Beginning 3D,1
Beginning Band,6
Beginning Percussion,5
Cadet Band,7
Cantabile,3
Chamber Orchestra (Proficient),2
Chorus Chamber Ensemble,3
Concert Band,1
Concert Chorus,2
CTE Advanced and Adobe Digital,7
Dance Collective,2
Dance Company,2
Dance Fundamentals,1
ESL High,5
ESL Middle,6
Film,2
French III Honors,6
French IV Honors,4
Game Art Design Honors,1
Grade 8 Creative Writing,1
Guitar Ensemble,1
Guitar Fundamentals,2
Guitar Styles,3
Intro to Stagecraft Grade 8,2
Jazz Combo,3
Jazz Stage,3
Learning Strategies 8th,7
Middle School Dance Ensemble,5
Middle School String Development,6
MS Wind Ensemble,5
Multicultural Studies Honors,6
Newspaper Journalism,2
Portfolio Development 2D (Watson),4
Science Local Elective Honors,4
Spanish Heritage II Honors,7
String Ensemble,3
String Orchestra,1
String Philharmonic,4
String Technique,5
Study Skills 7th,6
Supplement to PD 2D,4
Supplement to PD 3D,4
Symphonic Band,4
Theatre Design and Production,4
Theatre Lab,2
Theatre Studio I,5
Theatre Studio II,6
Theatre Tech II,5
Treble Ensemble,4
Visual Art Survey,5
Vocal Music Grade 7 Men's,5
Vocal Music Grade 7 Women's,5
Vocal Music Grade 8 Men's,1
Vocal Music Grade 8 Women's,1
Chorus Grade 6-8 Beg Men's,7
Chorus Grade 6-8 Beg Women's,7
Wind Ensemble,2
Yearbook Journalism,5
MS Theatre Studio,2
Advanced MS Theatre,5
