3D Advance (Martinez),2
AP Art History,5
AP Chemistry,7
AP European History,5
AP French Language and Culture,7
AP Music Theory,1
AP Physics C: Mechanics,6
AP Spanish Language and Culture,1
AP Statistics,7
AP Studio Art: 2-D Design,3
AP Studio Art: 3-D Design,3
Advanced Game Art Design,2
Advanced Guitar,4
Advanced MS Theatre,2
Alternate Mathematics,4
Alternate Mathematics II,3
Bass Ensemble,4
Beginning 3D,3
Beginning Band,6
Beginning Percussion,5
CTE Advanced and Adobe Digital,4
Cadet Band,7
Cantabile,3
Chamber Orchestra (Proficient),2
Chorus Chamber Ensemble,3
Chorus Grade 6-8 Beg Men's,7
Chorus Grade 6-8 Beg Women's,7
Concert Band,1
Concert Chorus,2
Dance Collective,1
Dance Company,2
Dance Fundamentals,1
ESL High,5
ESL Middle,6
Film,1
French III Honors,6
French IV Honors,6
Game Art Design Honors,1
Grade 8 Creative Writing,3
Guitar Ensemble,3
Guitar Fundamentals,5
Guitar Styles,2
Intro to Stagecraft Grade 8,2
Jazz Combo,3
Jazz Stage,3
Learning Strategies 8th,0
MS Advanced Dance,5
MS Theatre Studio,2
MS Wind Ensemble,5
Middle School Dance Ensemble,7
Middle School String Development,6
Multicultural Studies Honors,5
Newspaper Journalism,6
Portfolio Development 2D (Watson),4
Science Local Elective Honors,4
Spanish Heritage II Honors,6
String Ensemble,3
String Orchestra,1
String Philharmonic,4
String Technique,5
Study Skills 7th,0
Supplement to PD 2D,4
Supplement to PD 3D,4
Symphonic Band,4
Theatre Design and Production,4
Theatre Lab,1
Theatre Studio I,5
Theatre Studio II,6
Theatre Tech II,5
Visual Art Survey,5
Vocal Music Grade 7 Men's,5
Vocal Music Grade 7 Women's,5
Vocal Music Grade 8 Men's,1
Vocal Music Grade 8 Women's,1
Wind Ensemble,2
Yearbook Journalism,5
